# Wavelength Transmittance 
# Filter Q 
# lambda eff:20.9mu
# (um)               (%) 
1.4806041E+00        8.7000000E-05
6.3399995E-05        2.9735360E+00
1.4808230E+00        9.6800002E-05
-2.9010000E-04       2.9744201E+00
1.4810430E+00        9.2299997E-05
-6.6019996E-04       2.9753051E+00
1.4812620E+00        7.9899997E-05
-7.3480001E-04       2.9761910E+00
1.4814810E+00        6.5599997E-05
-4.5889997E-04       2.9770770E+00
1.4817010E+00        4.7699999E-05
3.5999998E-05        2.9779630E+00
1.4819210E+00        2.0300000E-05
6.5609999E-04        2.9788499E+00
1.4821399E+00        -1.6700000E-05
1.4415000E-03        2.9797380E+00
1.4823600E+00        -5.0499995E-05
2.3838999E-03        2.9806261E+00
1.4825799E+00        -6.7900000E-05
3.2240998E-03        2.9815149E+00
1.4828000E+00        -6.2899999E-05
3.4714001E-03        2.9824040E+00
1.4830190E+00        -4.5099998E-05
2.7849998E-03        2.9832940E+00
1.4832391E+00        -3.0300000E-05
1.3260999E-03        2.9841840E+00
1.4834590E+00        -2.3600000E-05
-2.1770000E-04       2.9850750E+00
1.4836800E+00        -1.9800000E-05
-1.0943000E-03       2.9859660E+00
1.4839000E+00        -1.1000000E-05
-1.0304000E-03       2.9868579E+00
1.4841200E+00        1.0000000E-06
-4.1889999E-04       2.9877501E+00
1.4843400E+00        8.5999991E-06
1.9100000E-05        2.9886429E+00
1.4845610E+00        4.0000000E-06
-1.6050000E-04       2.9895370E+00
1.4847810E+00        -8.2999995E-06
-8.0489996E-04       2.9904311E+00
1.4850010E+00        -2.0699999E-05
-1.3535001E-03       2.9913249E+00
1.4852220E+00        -2.6000000E-05
-1.3057999E-03       2.9922199E+00
1.4854430E+00        -2.2599999E-05
-5.4450001E-04       2.9931159E+00
1.4856631E+00        -1.3399999E-05
7.1240001E-04        2.9940124E+00
1.4858840E+00        0.0E+00
2.1679001E-03        2.9949090E+00
1.4861050E+00        1.7900000E-05
3.6539999E-03        2.9958060E+00
1.4863260E+00        3.9800001E-05
5.0832997E-03        2.9967041E+00
1.4865470E+00        6.5299995E-05
6.2169996E-03        2.9976020E+00
1.4867680E+00        8.9399997E-05
6.6496995E-03        2.9985011E+00
1.4869890E+00        1.0490000E-04
6.1001997E-03        2.9993999E+00
1.4872100E+00        1.0510000E-04
4.7912998E-03        3.0002999E+00
1.4874310E+00        8.8499997E-05
3.4193997E-03        3.0012000E+00
1.4876530E+00        5.7000001E-05
2.6971998E-03        3.0021009E+00
1.4878740E+00        2.1200000E-05
2.8967999E-03        3.0030029E+00
1.4880950E+00        -7.1999998E-06
3.7369998E-03        3.0039051E+00
1.4883170E+00        -2.0300000E-05
4.6178997E-03        3.0048079E+00
1.4885380E+00        -2.0300000E-05
4.9561998E-03        3.0057111E+00
1.4887600E+00        -1.7199998E-05
4.3947999E-03        3.0066140E+00
1.4889810E+00        -1.7900000E-05
2.9104000E-03        3.0075190E+00
1.4892030E+00        -1.9600000E-05
8.9169998E-04        3.0084240E+00
1.4894249E+00        -1.1200000E-05
-9.6129999E-04       3.0093291E+00
1.4896470E+00        9.4999996E-06
-1.8944999E-03       3.0102351E+00
1.4898690E+00        3.3900000E-05
-1.5557000E-03       3.0111411E+00
1.4900910E+00        4.3199998E-05
-2.0960000E-04       3.0120480E+00
1.4903131E+00        2.9299999E-05
1.3823999E-03        3.0129559E+00
1.4905350E+00        2.0999998E-06
2.4498000E-03        3.0138640E+00
1.4907570E+00        -2.0300000E-05
2.6708001E-03        3.0147719E+00
1.4909800E+00        -2.8799999E-05
2.3127000E-03        3.0156820E+00
1.4912020E+00        -3.0499999E-05
1.9385999E-03        3.0165911E+00
1.4914240E+00        -3.8899998E-05
1.9221000E-03        3.0175021E+00
1.4916470E+00        -5.8400001E-05
2.2078000E-03        3.0184121E+00
1.4918690E+00        -8.3200001E-05
2.3865998E-03        3.0193241E+00
1.4920920E+00        -1.0110000E-04
2.0202999E-03        3.0202360E+00
1.4923151E+00        -1.0560000E-04
9.2510000E-04        3.0211480E+00
1.4925370E+00        -9.7999997E-05
-7.3669996E-04       3.0220611E+00
1.4927599E+00        -8.2499995E-05
-2.5363001E-03       3.0229740E+00
1.4929830E+00        -6.6499997E-05
-3.9871000E-03       3.0238891E+00
1.4932060E+00        -5.8900001E-05
-4.7535999E-03       3.0248029E+00
1.4934289E+00        -6.6300003E-05
-4.7494997E-03       3.0257189E+00
1.4936520E+00        -8.8000001E-05
-4.0710000E-03       3.0266340E+00
1.4938750E+00        -1.1250001E-04
-2.8313999E-03       3.0275509E+00
1.4940979E+00        -1.2470000E-04
-1.1179000E-03       3.0284679E+00
1.4943219E+00        -1.1510000E-04
8.8639994E-04        3.0293851E+00
1.4945450E+00        -8.5599997E-05
2.7406001E-03        3.0303030E+00
1.4947680E+00        -4.6000001E-05
3.8093999E-03        3.0312221E+00
1.4949920E+00        -4.7999997E-06
3.6647001E-03        3.0321410E+00
1.4952151E+00        3.1699998E-05
2.4730999E-03        3.0330601E+00
1.4954391E+00        6.0499999E-05
9.3149993E-04        3.0339811E+00
1.4956630E+00        7.7999997E-05
-2.7969998E-04       3.0349009E+00
1.4958860E+00        8.0799997E-05
-9.5059996E-04       3.0358231E+00
1.4961100E+00        6.9099995E-05
-1.2159001E-03       3.0367451E+00
1.4963340E+00        4.9399998E-05
-1.1401000E-03       3.0376670E+00
1.4965580E+00        3.0499999E-05
-5.7530002E-04       3.0385900E+00
1.4967819E+00        1.9300000E-05
6.0490001E-04        3.0395141E+00
1.4970061E+00        1.7900000E-05
2.1573999E-03        3.0404379E+00
1.4972301E+00        1.9800000E-05
3.4920999E-03        3.0413630E+00
1.4974540E+00        1.9100000E-05
4.0507000E-03        3.0422881E+00
1.4976790E+00        1.1900000E-05
3.7013998E-03        3.0432141E+00
1.4979030E+00        1.4000000E-06
2.7908997E-03        3.0441401E+00
1.4981270E+00        -5.5000000E-06
1.8046000E-03        3.0450671E+00
1.4983521E+00        -6.1999999E-06
9.7920001E-04        3.0459950E+00
1.4985760E+00        -3.5999999E-06
1.3209999E-04        3.0469229E+00
1.4988010E+00        -2.8999998E-06
-1.0414000E-03       3.0478511E+00
1.4990259E+00        -6.6999996E-06
-2.4067999E-03       3.0487800E+00
1.4992501E+00        -9.4999996E-06
-3.1995999E-03       3.0497100E+00
1.4994750E+00        -4.4999997E-06
-2.6119000E-03       3.0506411E+00
1.4997000E+00        9.2999999E-06
-6.4920000E-04       3.0515721E+00
1.4999250E+00        2.8099999E-05
1.6377000E-03        3.0525031E+00
1.5001500E+00        4.9800001E-05
2.8788999E-03        3.0534351E+00
1.5003750E+00        7.4600001E-05
2.4009000E-03        3.0543680E+00
1.5006000E+00        1.0320000E-04
6.3419994E-04        3.0553010E+00
1.5008250E+00        1.2869999E-04
-1.3456000E-03       3.0562351E+00
1.5010509E+00        1.3970000E-04
-2.6115999E-03       3.0571690E+00
1.5012760E+00        1.3160000E-04
-2.7735000E-03       3.0581040E+00
1.5015020E+00        1.0870000E-04
-1.9623998E-03       3.0590391E+00
1.5017270E+00        8.4599997E-05
-6.7089999E-04       3.0599761E+00
1.5019530E+00        6.5100001E-05
4.7019997E-04        3.0609119E+00
1.5021780E+00        4.7699999E-05
1.0068000E-03        3.0618491E+00
